iter	Passed	Remaining
421	2177	33943
422	2181	33926
423	2186	33911
424	2191	33904
425	2196	33889
426	2201	33891
427	2208	33909
428	2213	33898
429	2217	33884
430	2222	33871
431	2227	33861
432	2231	33848
433	2236	33832
434	2240	33817
435	2246	33815
436	2252	33827
437	2258	33842
438	2265	33851
439	2271	33864
440	2276	33856
441	2280	33841
442	2285	33826
443	2289	33812
444	2294	33797
445	2298	33783
446	2303	33767
447	2307	33754
448	2312	33740
449	2317	33730
450	2321	33715
451	2326	33700
452	2330	33686
453	2335	33673
454	2339	33656
455	2344	33644
456	2348	33628
457	2353	33617
458	2358	33605
459	2362	33590
460	2367	33575
461	2371	33563
462	2376	33550
463	2380	33536
464	2385	33523
465	2389	33507
466	2394	33496
467	2398	33481
468	2403	33468
469	2407	33454
470	2412	33442
471	2417	33430
472	2421	33418
473	2426	33403
474	2430	33391
475	2435	33377
476	2439	33363
477	2445	33366
478	2451	33374
479	2457	33387
480	2464	33396
481	2469	33399
482	2474	33392
483	2479	33386
484	2484	33376
485	2489	33365
486	2494	33355
487	2498	33342
488	2503	33329
489	2508	33322
490	2512	33309
491	2517	33295
492	2521	33284
493	2526	33272
494	2530	33258
495	2535	33245
496	2539	33232
497	2544	33224
498	2549	33212
499	2554	33202
500	2558	33189
501	2562	33175
502	2567	33164
503	2572	33154
504	2576	33140
505	2581	33131
506	2586	33118
507	2591	33112
508	2595	33099
509	2600	33087
510	2606	33093
511	2610	33082
512	2615	33069
513	2619	33056
514	2624	33044
515	2628	33032
516	2633	33022
517	2637	33010
518	2643	33007
519	2652	33054
520	2658	33062
521	2664	33069
522	2670	33078
523	2677	33088
524	2683	33100
525	2688	33094
526	2693	33084
527	2698	33074
528	2702	33063
529	2707	33052
530	2712	33039
531	2717	33034
532	2723	33042
533	2728	33036
534	2733	33027
535	2737	33015
536	2742	33004
537	2746	32991
538	2751	32978
539	2756	32970
540	2760	32959
541	2766	32968
542	2773	32976
543	2777	32965
544	2782	32959
545	2787	32948
546	2791	32936
547	2796	32925
548	2801	32913
549	2805	32901
550	2809	32888
551	2814	32876
552	2818	32863
553	2823	32852
554	2827	32840
555	2832	32829
556	2837	32818
557	2843	32826
558	2850	32840
559	2856	32850
560	2862	32856
