iter	Logloss
0	0.6900811013
1	0.6872796431
2	0.6852824676
3	0.6825195229
4	0.6796926745
5	0.6768072047
6	0.6741402182
7	0.6717313491
8	0.6689898626
9	0.6664749112
10	0.6638844299
11	0.6612514973
12	0.6588366119
13	0.656393353
14	0.6541104871
15	0.6521011911
16	0.6499678405
17	0.647831888
18	0.6459897025
19	0.6439323098
20	0.6419604353
21	0.6398359946
22	0.6379006547
23	0.6358670396
24	0.6346723699
25	0.6326788512
26	0.631015607
27	0.6292346533
28	0.6274979487
29	0.6257817114
30	0.6242155331
31	0.6226509724
32	0.6210797389
33	0.6195005198
34	0.6179739982
35	0.6164750835
36	0.6149448546
37	0.6133437759
38	0.611997258
39	0.6107891331
40	0.6096578161
41	0.6082053278
42	0.6069580814
43	0.6056052401
44	0.6043635382
45	0.6030592825
46	0.6020044266
47	0.6007307247
48	0.5999343141
49	0.5991967843
50	0.5978365525
51	0.5969691044
52	0.5958883263
53	0.5947227454
54	0.5936172387
55	0.5924992747
56	0.5914465143
57	0.5904854301
58	0.5895191817
59	0.5888705334
60	0.5879895672
61	0.5870968921
62	0.586082724
63	0.5850816079
64	0.5843563469
65	0.5835741303
66	0.5826780009
67	0.5817391577
68	0.5808585883
69	0.5801852026
70	0.579365238
71	0.5787126628
72	0.5778233661
73	0.5772136396
74	0.576533046
75	0.5757430055
76	0.5753370871
77	0.5746409778
78	0.5738812454
79	0.5732471334
80	0.5724666293
81	0.5718655562
82	0.5711560423
83	0.5704799611
84	0.5698400412
85	0.5694095186
86	0.568925306
87	0.5683912957
88	0.5677751837
89	0.5674664592
90	0.5669032067
91	0.5664963874
92	0.5658228303
93	0.5651379477
94	0.5645541249
95	0.5642521683
96	0.5637914886
97	0.5634979646
98	0.56291136
99	0.5623800469
100	0.5618989061
101	0.5612060571
102	0.5607875028
103	0.5602696395
104	0.5597530145
105	0.559222823
106	0.5586371081
107	0.5581480198
108	0.5575376002
109	0.557034875
110	0.5566087013
111	0.5561368258
112	0.5557276032
113	0.5552925878
114	0.5550681512
115	0.5547345313
116	0.5544169039
117	0.5539774161
118	0.5537265016
119	0.5531764137
120	0.5528263735
121	0.552294315
122	0.5518216735
123	0.5514767188
124	0.5510599674
125	0.550635679
126	0.5501193576
127	0.5497524711
128	0.5493901177
129	0.5490860989
130	0.5488221405
131	0.5483929146
132	0.5480758341
133	0.5476048149
134	0.5472874824
135	0.547000856
136	0.546668753
137	0.546280002
138	0.5459984101
139	0.545783526
140	0.5454997448
141	0.5452243451
142	0.5448304954
143	0.5445899864
144	0.5442260008
145	0.543935014
146	0.5437142041
147	0.5434707534
148	0.543180756
149	0.5427346904
150	0.5424488396
151	0.542174611
152	0.5418144376
153	0.5415859882
154	0.5413905879
155	0.5410227455
156	0.5408569157
157	0.5405490401
158	0.540057542
159	0.5397201072
160	0.5394235733
161	0.5392050865
162	0.5389287818
163	0.5385906607
164	0.5384138327
165	0.5381295708
166	0.5378332683
167	0.5375534849
168	0.537318413
169	0.5369525692
170	0.5365794742
171	0.5362180074
172	0.5360090988
173	0.5355491897
174	0.5352887179
175	0.5350171966
176	0.534774598
177	0.5344380326
178	0.5340422722
179	0.533833839
180	0.5335401172
181	0.5333262146
182	0.5331886557
183	0.5329816758
184	0.5326602086
185	0.5326272391
186	0.5323732941
187	0.53207814
188	0.5319637678
189	0.5317998615
190	0.5314994017
191	0.5312509307
192	0.5310456674
193	0.5308401049
194	0.5307114855
195	0.5304417598
196	0.5302688224
197	0.5300253515
198	0.5298532814
199	0.5296916859
200	0.5294056821
201	0.5291115387
202	0.5288805398
203	0.5287308663
204	0.5285466118
205	0.5282635039
206	0.5281051595
207	0.5278199062
208	0.5275872351
209	0.527439004
210	0.5272835539
211	0.5271558486
212	0.5269886021
213	0.5268230291
214	0.5266741924
215	0.5264886111
216	0.5264559934
217	0.5262157068
218	0.5260064157
219	0.525747265
220	0.5256420926
221	0.5254611137
222	0.5252155294
223	0.5250658318
224	0.5248457244
225	0.5246658285
226	0.5243811582
227	0.5242519746
228	0.5241125753
229	0.5238944497
230	0.5236836311
231	0.5234348055
232	0.5232776177
233	0.5228715295
234	0.5226674339
235	0.5225023764
236	0.5223386605
237	0.5220863131
238	0.5218062421
239	0.5215871492
240	0.5214735711
241	0.5213649192
242	0.5210394292
243	0.5207740211
244	0.5204645124
245	0.5203979984
246	0.5201777749
247	0.5200183675
248	0.519718316
249	0.5195156118
250	0.519344662
251	0.5191061149
252	0.5188723894
253	0.5187566271
254	0.5187223927
255	0.5183977399
256	0.5181606721
257	0.5179209297
258	0.5177829174
259	0.5177451703
260	0.517532955
261	0.5174825131
262	0.5172977439
263	0.5171870186
264	0.516920034
265	0.5168147132
266	0.5166720727
267	0.5165169414
268	0.5163740221
269	0.5161771013
270	0.5160153737
271	0.5157130479
272	0.5154655443
273	0.5153131272
274	0.5152785408
275	0.5152393057
276	0.5149559443
277	0.5147191823
278	0.5146064835
279	0.5145203992
280	0.5143628101
281	0.5142895084
282	0.5141640046
283	0.5140970902
284	0.5139831755
285	0.513853611
286	0.5136207785
287	0.513424495
288	0.5133051776
289	0.5131012587
290	0.5129832084
291	0.5126899768
292	0.5124209142
293	0.5122295099
294	0.5120820696
295	0.51185051
296	0.5117016418
297	0.511585172
298	0.5113936828
299	0.5113611216
300	0.5112640148
301	0.5112274859
302	0.5111257364
303	0.5111065985
304	0.5109259487
305	0.5108648015
306	0.5106972583
307	0.5105963527
308	0.510510285
309	0.5103602125
310	0.5101820122
311	0.5100349718
312	0.5098332635
313	0.5096462647
314	0.5094365412
315	0.5094170148
316	0.5092486336
317	0.5090786852
318	0.5088709929
319	0.5087148322
320	0.5085985799
321	0.5085598046
322	0.5084608463
323	0.5084285806
324	0.5082120893
325	0.5080755913
326	0.5078979708
327	0.5078269628
328	0.5076710751
329	0.5075079597
330	0.5073992328
331	0.5073892277
332	0.5072661183
333	0.5071448244
334	0.5069186352
335	0.5067992627
336	0.5066186676
337	0.5065537557
338	0.5064467226
339	0.5062216641
340	0.5060692279
341	0.505909893
342	0.5058781237
343	0.5055935475
344	0.5054794425
345	0.5054528721
346	0.5054034016
347	0.5052128769
348	0.5051614547
349	0.5049992742
350	0.5048342127
351	0.5048003807
352	0.504647999
353	0.504454843
354	0.5043675754
355	0.5042491806
356	0.5042154463
357	0.5041358242
358	0.5041232823
359	0.5039377439
360	0.5037271332
361	0.5036981663
362	0.5036837548
363	0.5035079151
364	0.5033783872
365	0.503182699
366	0.5030292844
367	0.5027916828
368	0.502678054
369	0.5025628368
370	0.5024513043
371	0.5022664771
372	0.5021684386
373	0.5021279379
374	0.5020486617
375	0.5019487274
376	0.5018852938
377	0.5016535487
378	0.5015738724
379	0.5014475995
380	0.5012705139
381	0.5011668701
382	0.50114913
383	0.5010195576
384	0.5009816532
385	0.5008511052
386	0.5008265339
387	0.5008020473
388	0.5007304162
389	0.5005821405
390	0.5005460118
391	0.5004936654
392	0.500373378
393	0.5002563669
394	0.5001970843
395	0.5001281827
396	0.5000544791
397	0.4998910097
398	0.4997437136
399	0.4995416935
400	0.4993009117
401	0.499258587
402	0.499206189
403	0.4990930011
404	0.4990062283
405	0.4988853892
406	0.4988685984
407	0.4987438102
408	0.4986943235
409	0.4985740442
410	0.4983138298
411	0.4982145854
412	0.4981256804
413	0.497943025
414	0.4979225396
415	0.497887663
416	0.4977586854
417	0.4976895319
418	0.4975379457
419	0.4974323396
420	0.497338112
421	0.4972733298
422	0.4971255871
423	0.4970758734
424	0.4970444208
425	0.4969952181
426	0.4969159407
427	0.4968082039
428	0.4967116987
429	0.4965862252
430	0.4964493792
431	0.4963607636
432	0.4962267796
433	0.4960892492
434	0.4958747935
435	0.4958040791
436	0.4956573814
437	0.4955967411
438	0.4955022732
439	0.495294117
440	0.4952788243
441	0.4950750615
442	0.49488079
443	0.4948629317
444	0.494820201
445	0.494771944
446	0.4947172478
447	0.4946740244
448	0.4945127763
449	0.4944099757
450	0.4943996444
451	0.4943359453
452	0.4942444181
453	0.4941671252
454	0.4941288326
455	0.494123146
456	0.4941032153
457	0.4940007944
458	0.4939737475
459	0.4938917002
460	0.4937953156
461	0.4937165155
462	0.4936295879
463	0.4934811275
464	0.4933653409
465	0.4932517992
466	0.4931517828
467	0.4929972402
468	0.4927249466
469	0.4926367543
470	0.4925871467
471	0.4924482311
472	0.4922884357
473	0.4921718627
474	0.492152757
475	0.4921300813
476	0.4920474648
477	0.4918590021
478	0.4916655375
479	0.4915370832
480	0.4915213807
481	0.491426468
482	0.4914066443
483	0.4913193209
484	0.4912667211
485	0.4911891892
486	0.4911783543
487	0.4910642466
488	0.4908430204
489	0.4907743694
490	0.4907296738
491	0.4906357107
492	0.4904720328
493	0.4903245333
494	0.4902295218
495	0.4901275997
496	0.4900363941
497	0.4900010961
498	0.4899877275
499	0.4898938749
500	0.4898639883
501	0.4897948743
502	0.4896882272
503	0.4895259704
504	0.4894365828
505	0.4894030342
506	0.4893685353
507	0.4892911463
508	0.4891339001
509	0.4890575089
510	0.4888989764
511	0.4887623906
512	0.4887543671
513	0.488729269
514	0.4886152016
515	0.4885611026
516	0.4883935697
517	0.4882752432
518	0.4880629659
519	0.4880497403
520	0.4879241406
521	0.4878170267
522	0.4876714322
523	0.4876083937
524	0.4874125239
525	0.4873811349
526	0.4873192619
527	0.4872877068
528	0.4870811382
529	0.4870274986
530	0.4869018943
531	0.4868919477
532	0.4867671337
533	0.4866527836
534	0.4865844496
535	0.4864029301
536	0.4862764313
537	0.4861170623
538	0.4861002974
539	0.486080934
540	0.485898341
541	0.4858143647
542	0.4856556224
543	0.4855231105
544	0.4852822844
545	0.48523368
546	0.4852082881
547	0.4849794927
548	0.4849137031
549	0.4848979249
550	0.4848132377
551	0.4847222309
552	0.4845418385
553	0.4844510612
554	0.4843410778
555	0.4841689224
556	0.4840683273
557	0.4839539221
558	0.4838946459
559	0.4838814997
560	0.4838443036
561	0.4838351974
562	0.4837336236
563	0.4836681375
564	0.4834518811
565	0.4834207679
566	0.4832945439
567	0.4831898971
568	0.483083805
569	0.4830417137
570	0.4827577659
571	0.4826293771
572	0.4824254631
573	0.4823258622
574	0.4822470253
575	0.4820953586
576	0.482084479
577	0.4820616494
578	0.4819821687
579	0.4819182081
580	0.4818122569
581	0.481753002
582	0.4817216277
583	0.4815988547
584	0.481506854
585	0.4814681755
586	0.4814536531
587	0.4812900014
588	0.4811018216
589	0.481026673
590	0.4809031938
591	0.480818717
592	0.480656979
593	0.4805386916
594	0.4804951543
595	0.4803687597
596	0.4803196402
597	0.4801912705
598	0.4800424183
599	0.4799548925
600	0.4798809325
601	0.4797334583
602	0.4797224711
603	0.479487899
604	0.4793682079
605	0.4792440089
606	0.4791895379
607	0.4791825954
608	0.4789701828
609	0.4789046827
610	0.478879518
611	0.478855953
612	0.4788143201
613	0.4787615009
614	0.4787448757
615	0.4787283458
616	0.4785585797
617	0.4784140604
618	0.4783234011
